diftrbbo,Oclim,ocean_tracer_bolus_biharmonic_diffusivity,Ocean Tracer Bolus Biharmonic Diffusivity,16&3&,0&1&32&33&,time: mean within years time: mean over years,
diftrelo,Oclim,ocean_tracer_epineutral_laplacian_diffusivity,Ocean Tracer Epineutral Laplacian Diffusivity,15&3&,0&1&32&33&,time: mean within years time: mean over years,
diftrebo,Oclim,ocean_tracer_epineutral_biharmonic_diffusivity,Ocean Tracer Epineutral Biharmonic Diffusivity,16&3&,0&1&32&33&,time: mean within years time: mean over years,
diftrxylo,Oclim,ocean_tracer_xy_laplacian_diffusivity,Ocean Tracer XY Laplacian Diffusivity,15&3&,0&1&32&33&,time: mean within years time: mean over years,
diftrxybo,Oclim,ocean_tracer_xy_biharmonic_diffusivity,Ocean Tracer XY Biharmonic Diffusivity,16&3&,0&1&32&33&,time: mean within years time: mean over years,
tnkebto,Oclim,tendency_of_ocean_eddy_kinetic_energy_content_due_to_bolus_transport,Tendency of Ocean Eddy Kinetic Energy Content due to Bolus Transport,6&2&,0&1&32&33&,time: mean within years time: mean over years,
difmxylo,Oclim,ocean_momentum_xy_laplacian_diffusivity,Ocean Momentum XY Laplacian Diffusivity,15&3&,0&1&32&33&,time: mean within years time: mean over years,
difmxybo,Oclim,ocean_momentum_xy_biharmonic_diffusivity,Ocean Momentum XY Biharmonic Diffusivity,16&3&,0&1&32&33&,time: mean within years time: mean over years,
dispkexyfo,Oclim,ocean_kinetic_energy_dissipation_per_unit_area_due_to_xy_friction,Ocean Kinetic Energy Dissipation Per Unit Area due to XY Friction,6&2&,0&1&32&33&,time: mean within years time: mean over years,
diftrblo2d,Oclim,ocean_tracer_bolus_laplacian_diffusivity,Ocean Tracer Bolus Laplacian Diffusivity,15&3&,0&1&33&,time: mean within years time: mean over years,
diftrbbo2d,Oclim,ocean_tracer_bolus_biharmonic_diffusivity,Ocean Tracer Bolus Biharmonic Diffusivity,16&3&,0&1&33&,time: mean within years time: mean over years,
diftrelo2d,Oclim,ocean_tracer_epineutral_laplacian_diffusivity,Ocean Tracer Epineutral Laplacian Diffusivity,15&3&,0&1&33&,time: mean within years time: mean over years,
diftrebo2d,Oclim,ocean_tracer_epineutral_biharmonic_diffusivity,Ocean Tracer Epineutral Biharmonic Diffusivity,16&3&,0&1&33&,time: mean within years time: mean over years,
diftrxylo2d,Oclim,ocean_tracer_xy_laplacian_diffusivity,Ocean Tracer XY Laplacian Diffusivity,15&3&,0&1&33&,time: mean within years time: mean over years,
diftrxybo2d,Oclim,ocean_tracer_xy_biharmonic_diffusivity,Ocean Tracer XY Biharmonic Diffusivity,16&3&,0&1&33&,time: mean within years time: mean over years,
tnkebto2d,Oclim,tendency_of_ocean_eddy_kinetic_energy_content_due_to_bolus_transport,Tendency of Ocean Eddy Kinetic Energy Content due to Bolus Transport,6&2&,0&1&33&,time: mean within years time: mean over years,
difmxylo2d,Oclim,ocean_momentum_xy_laplacian_diffusivity,Ocean Momentum XY Laplacian Diffusivity,15&3&,0&1&33&,time: mean within years time: mean over years,
difmxybo2d,Oclim,ocean_momentum_xy_biharmonic_diffusivity,Ocean Momentum XY Biharmonic Diffusivity,16&3&,0&1&33&,time: mean within years time: mean over years,
dispkexyfo2d,Oclim,ocean_kinetic_energy_dissipation_per_unit_area_due_to_xy_friction,Ocean Kinetic Energy Dissipation Per Unit Area due to XY Friction,6&2&,0&1&33&,time: mean within years time: mean over years,
zfull,Oclim,depth_below_geoid,Depth Below Geoid of Ocean Layer,5&,0&1&32&33&,time: mean within years time: mean over years,
pr,3hr,precipitation_flux,Precipitation,1&2&3&,0&1&2&,time:mean,
tas,3hr,air_temperature,Near-Surface Air Temperature,4&,0&1&14&34&,time: point,
hfls,3hr,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,6&2&,0&1&2&,time: mean,
hfss,3hr,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,6&2&,0&1&2&,time: mean,
rlds,3hr,surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,6&2&,0&1&2&,time: mean,
rlus,3hr,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,6&2&,0&1&2&,time: mean,
rsds,3hr,surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,6&2&,0&1&2&,time: mean,
rsus,3hr,surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave Radiation,6&2&,0&1&2&,time: mean,
uas,3hr,eastward_wind,Eastward Near-Surface Wind Speed,5&3&,0&1&14&35&,time: point,
vas,3hr,northward_wind,Northward Near-Surface Wind Speed,5&3&,0&1&14&35&,time: point,
huss,3hr,specific_humidity,Near-Surface Specific Humidity,9&,0&1&14&34&,time: point,
mrsos,3hr,moisture_content_of_soil_layer,Moisture in Upper Portion of Soil Column,1&2&,0&1&14&16&,time: point area: mean where land,
tslsi,3hr,surface_temperature,Surface Temperature Where Land or Sea Ice,4&,0&1&14&,time: point,
tso,3hr,sea_surface_temperature,Sea Surface Temperature,4&,0&1&14&,time: point area: mean where sea,
prc,3hr,convective_precipitation_flux,Convective Precipitation,1&2&3&,0&1&2&,time:mean,
prsn,3hr,snowfall_flux,Snowfall Flux,1&2&3&,0&1&2&,time:mean,
mrro,3hr,runoff_flux,Total Runoff,1&2&3&,0&1&2&,time: mean area: mean where land,
rldscs,3hr,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Longwave Radiation,6&2&,0&1&2&,time: mean,
rsdscs,3hr,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Shortwave Radiation,6&2&,0&1&2&,time: mean,
rsuscs,3hr,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Upwelling Clear-Sky Shortwave Radiation,6&2&,0&1&2&,time: mean,
ps,3hr,surface_air_pressure,Surface Air Pressure,0&,0&1&14&,time: point,
clt,3hr,cloud_area_fraction,Total Cloud Fraction,7&,0&1&2&,time: mean,
areacella,fx,cell_area,Atmosphere Grid-Cell Area,15&,0&1&,,1e+12
orog,fx,surface_altitude,Surface Altitude,5&,0&1&,,10000.0
sftlf,fx,land_area_fraction,Land Area Fraction,7&,0&1&,,100.0
sftgif,fx,land_ice_area_fraction,Fraction of Grid Cell Covered with Glacier,7&,0&1&,,100.0
mrsofc,fx,soil_moisture_content_at_field_capacity,Capacity of Soil to Store Water,1&2&,0&1&,,
rootd,fx,root_depth,Maximum Root Depth,5&,0&1&,,30.0
deptho,fx,sea_floor_depth_below_geoid,Sea Floor Depth,5&,0&1&,,10000.0
volcello,fx,ocean_volume,Ocean Grid-Cell Volume,13&,0&1&32&,,1e+15
areacello,fx,cell_area,Ocean Grid-Cell Area,15&,0&1&,,1e+12
sftof,fx,sea_area_fraction,Sea Area Fraction,7&,0&1&,,100.0
basin,fx,region,Region Selection Index,9&,0&1&,,10.0
hfgeou,fx,upward_geothermal_heat_flux_at_sea_floor,Upward Geothermal Heat Flux at Sea Floor,6&2&,0&1&,area: mean where sea,
orog,cf3hr,surface_altitude,Surface Altitude,5&,0&1&,,1.00E+04
cfadDbze94,cf3hr,histogram_of_equivalent_reflectivity_factor_over_height_above_reference_ellipsoid,CloudSat Radar Reflectivity CFAD,9&,36&31&37&14&,time: point,
cfadLidarsr532,cf3hr,histogram_of_backscattering_ratio_over_height_above_reference_ellipsoid,CALIPSO Scattering Ratio CFAD,9&,36&31&38&14&,time: point,
parasolRefl,cf3hr,toa_bidirectional_reflectance,PARASOL Reflectance,9&,36&39&14&,time: point,
cltcalipso,cf3hr,cloud_area_fraction,CALIPSO Total Cloud Fraction,7&,36&14&,time: point,
cllcalipso,cf3hr,cloud_area_fraction_in_atmosphere_layer,CALIPSO Low Level Cloud Fraction,7&,36&14&28&,time: point,
clmcalipso,cf3hr,cloud_area_fraction_in_atmosphere_layer,CALIPSO Mid Level Cloud Fraction,7&,36&14&29&,time: point,
clhcalipso,cf3hr,cloud_area_fraction_in_atmosphere_layer,CALIPSO High Level Cloud Fraction,7&,36&14&30&,time: point,
longitude,cf3hr,longitude,Longitude,17&,36&14&,time: point,360.0
latitude,cf3hr,latitude,Latitude,18&,36&14&,time: point,90.0
toffset,cf3hr,time,Offset Time,19&,36&14&,,
tas,cf3hr,air_temperature,Near-Surface Air Temperature,4&,0&1&14&34&,time: point,
ts,cf3hr,surface_temperature,Surface Temperature,4&,0&1&14&,time: point,
psl,cf3hr,air_pressure_at_sea_level,Sea Level Pressure,0&,0&1&14&,time: point,
ps,cf3hr,surface_air_pressure,Surface Air Pressure,0&,0&1&14&,time: point,
uas,cf3hr,eastward_wind,Eastward Near-Surface Wind,5&3&,0&1&14&35&,time: point,
vas,cf3hr,northward_wind,Northward Near-Surface Wind,5&3&,0&1&14&35&,time: point,
sfcWind,cf3hr,wind_speed,Near-Surface Wind Speed,5&3&,0&1&14&35&,time: point,
hurs,cf3hr,relative_humidity,Near-Surface Relative Humidity,7&,0&1&14&34&,time: point,
huss,cf3hr,specific_humidity,Near-Surface Specific Humidity,9&,0&1&14&34&,time: point,
pr,cf3hr,precipitation_flux,Precipitation,1&2&3&,0&1&14&,time: point,
prsn,cf3hr,snowfall_flux,Snowfall Flux,1&2&3&,0&1&14&,time: point,
prc,cf3hr,convective_precipitation_flux,Convective Precipitation,1&2&3&,0&1&14&,time: point,
evspsbl,cf3hr,water_evaporation_flux,Evaporation,1&2&3&,0&1&14&,time: point,
sbl,cf3hr,surface_snow_and_ice_sublimation_flux,Surface Snow and Ice Sublimation Flux,1&2&3&,0&1&14&,time: point,
tauu,cf3hr,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,0&,0&1&14&,time: point,
